Sample ID;Sample;Collector Name;Sampling Site;Latitude;Longitude;Latitude Start;Longitude Start;Latitude End;Longitude End;Distance to Reef (Nautic Miles);Replica;Instrument;Sampling date;Sampling Time;Depth (m);Filtration Volume (L);Filtration Duration (min);Filter Porosity (µm);Extraction date;Qubit Concentration (ng/µL);Initial Volume (µL);Final Volume (µL);DNA Volume for 2 ng/µL (µL);H2O Volume (µL) 2;DNA 2 ng/µL Qubit Concentration (ng/µL);PCR date;Primer;Barcod;Purification date;Amplicon Volume (µL) ;AmpureXP Volume (µL);Amplicon Concentration (ng/µL);Sequencing date;Run name;Quantity (ng);Volume for Pool (µL)
Ma_5NM_3;OS_00000007;Julie/Lucie/Yannick;Maatea;-17.6664157;-149.8901085;-17.66657;-149.89249;-17.668;-149.894;5;3;Robot;14/06/2023;11h;5;20;20;1.2µm;19/06/2023;5,22;100;50;19,16;30,84;2,12;18/06/2024;MiFish-U;10;19/06/2024;150;270;5,78;20/06/2024;Run_1;100;17,3
Ma_10NM_1;OS_00000002;Julie/Lucie/Yannick;Maatea;-17.7281705;-149.947994;-17.7281705;-149.947994;-17.731671;-149.945401;10;1;Robot;14/06/2023;8h;5;20;;1.2µm;19/06/2023;13,2;100;50;7,58;42,42;2,1;18/06/2024;MiFish-U;11;19/06/2024;150;270;8,84;20/06/2024;Run_1;100;11,31
Ma_10NM_2;OS_00000003;Julie/Lucie/Yannick;Maatea;-17.7281705;-149.947994;-17.731671;-149.945401;-17.735961;-149.942596;10;2;Robot;14/06/2023;8h20;5;20;30;1.2µm;19/06/2023;21;100;50;4,76;45,24;2,08;18/06/2024;MiFish-U;12;19/06/2024;150;270;17,8;20/06/2024;Run_1;100;5,62
Ta_Blank;OS_00000020;;Taotaha;;;;;;;Control;2;Robot;15/06/2023;;;1,5;;1.2µm;19/06/2023;TOO LOW;100;50;18,47;18,47;TOO LOW;;MiFish-U;11;;;;;;;100;#DIV/0!
Ma_10NM_3;OS_00000004;Julie/Lucie/Yannick;Maatea;-17.7281705;-149.947994;-17.735961;-149.942596;-17.74;-149.94;10;3;Robot;14/06/2023;8h55;5;20;30;1.2µm;19/06/2023;27;100;50;4,01;45,99;2,12;04/07/2024;MiFish-U;1;04/07/2024;133;239,4;18;10/07/2024;Run_2;100;5,56
Ma_2NM_1;OS_00000008;Julie/Lucie/Yannick;Maatea;-17.6299512;-149.8537626;-17.627;-149.849;-17.623995;-149.849063;2;1;Robot;14/06/2023;11h46;5;20;25;1.2µm;19/06/2023;18;100;50;6,02;43,98;1,88;04/07/2024;MiFish-U;2;04/07/2024;133;239,4;13,6;10/07/2024;Run_2;100;7,35
Ma_2NM_2;OS_00000009;Julie/Lucie/Yannick;Maatea;-17.6299512;-149.8537626;-17.623995;-149.849063;-17.621020;-149.849071;2;2;Robot;14/06/2023;12h05;5;20;;1.2µm;19/06/2023;9,92;100;50;10,92;39,08;2,06;04/07/2024;MiFish-U;3;04/07/2024;133;239,4;14,2;10/07/2024;Run_2;100;7,04
Ma_2NM_3;OS_00000010;Julie/Lucie/Yannick;Maatea;-17.6299512;-149.8537626;-17.625;-149.852;-17.62185;-149.8519;2;3;Robot;14/06/2023;12h32;5;20;;1.2µm;19/06/2023;10,9;100;50;9,94;40,06;1,96;04/07/2024;MiFish-U;4;04/07/2024;133;239,4;13,5;10/07/2024;Run_2;100;7,41
Ma_1NM_1;OS_00000011;Julie/Lucie/Yannick;Maatea;-17.6176791;-149.8422233;-17.61921;-149.83887;-17.616093;-149.839721;1;1;Robot;14/06/2023;13h30;5;20;;1.2µm;19/06/2023;3,84;100;50;28,21;21,79;1,96;04/07/2024;MiFish-U;5;04/07/2024;133;239,4;14,6;10/07/2024;Run_2;100;6,85
Ma_1NM_2;OS_00000012;Julie/Lucie/Yannick;Maatea;-17.6176791;-149.8422233;-17.616093;-149.839721;-17.613872;-149.840415;1;2;Robot;14/06/2023;13h20;5;20;;1.2µm;19/06/2023;4,82;100;50;22,47;27,53;1,93;04/07/2024;MiFish-U;6;04/07/2024;133;239,4;7,74;10/07/2024;Run_2;100;12,92
